sentence_id,tokens,clauses,dep_clauses,coord,complex_nominals,doc
77,18,4,1,2,3,pre_09_brennan_undermine_election.txt (pre)
78,15,3,0,2,4,pre_09_brennan_undermine_election.txt (pre)
79,15,2,0,0,4,pre_09_brennan_undermine_election.txt (pre)
80,44,5,3,0,11,pre_09_brennan_undermine_election.txt (pre)
81,38,9,5,2,4,pre_09_brennan_undermine_election.txt (pre)
82,15,3,1,1,1,pre_09_brennan_undermine_election.txt (pre)
83,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
84,29,4,0,3,8,pre_09_brennan_undermine_election.txt (pre)
85,33,7,0,0,7,pre_09_brennan_undermine_election.txt (pre)
86,31,6,4,2,4,pre_09_brennan_undermine_election.txt (pre)
87,32,4,1,3,6,pre_09_brennan_undermine_election.txt (pre)
88,15,2,0,1,2,pre_09_brennan_undermine_election.txt (pre)
89,65,3,1,2,26,pre_09_brennan_undermine_election.txt (pre)
90,25,3,1,1,7,pre_09_brennan_undermine_election.txt (pre)
91,41,6,0,2,11,pre_09_brennan_undermine_election.txt (pre)
92,32,9,5,2,3,pre_09_brennan_undermine_election.txt (pre)
93,39,11,5,0,2,pre_09_brennan_undermine_election.txt (pre)
94,48,5,4,2,10,pre_09_brennan_undermine_election.txt (pre)
95,66,8,2,5,17,pre_09_brennan_undermine_election.txt (pre)
96,25,1,0,1,7,pre_09_brennan_undermine_election.txt (pre)
97,27,3,2,0,4,pre_09_brennan_undermine_election.txt (pre)
98,20,2,0,1,2,pre_09_brennan_undermine_election.txt (pre)
99,25,7,3,1,5,pre_09_brennan_undermine_election.txt (pre)
100,39,9,0,3,6,pre_09_brennan_undermine_election.txt (pre)
101,25,3,1,0,7,pre_09_brennan_undermine_election.txt (pre)
102,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
103,17,3,0,1,2,pre_09_brennan_undermine_election.txt (pre)
104,16,3,1,0,0,pre_09_brennan_undermine_election.txt (pre)
105,52,9,4,1,12,pre_09_brennan_undermine_election.txt (pre)
106,24,3,1,1,6,pre_09_brennan_undermine_election.txt (pre)
107,38,7,2,2,5,pre_09_brennan_undermine_election.txt (pre)
108,13,2,1,0,0,pre_09_brennan_undermine_election.txt (pre)
109,33,6,1,0,2,pre_09_brennan_undermine_election.txt (pre)
110,64,10,6,2,11,pre_09_brennan_undermine_election.txt (pre)
111,66,9,5,3,10,pre_09_brennan_undermine_election.txt (pre)
112,17,2,1,0,1,pre_09_brennan_undermine_election.txt (pre)
113,20,2,0,2,4,pre_09_brennan_undermine_election.txt (pre)
114,18,4,1,0,3,pre_09_brennan_undermine_election.txt (pre)
115,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
116,61,17,6,0,10,pre_09_brennan_undermine_election.txt (pre)
117,24,5,3,2,5,pre_09_brennan_undermine_election.txt (pre)
118,8,1,0,0,2,pre_09_brennan_undermine_election.txt (pre)
119,15,4,1,0,3,pre_09_brennan_undermine_election.txt (pre)
120,36,7,3,2,5,pre_09_brennan_undermine_election.txt (pre)
121,16,4,1,0,1,pre_09_brennan_undermine_election.txt (pre)
122,40,10,4,3,8,pre_09_brennan_undermine_election.txt (pre)
123,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
124,25,5,1,1,6,pre_09_brennan_undermine_election.txt (pre)
125,18,2,0,0,3,pre_09_brennan_undermine_election.txt (pre)
126,23,4,2,0,3,pre_09_brennan_undermine_election.txt (pre)
127,20,4,1,1,2,pre_09_brennan_undermine_election.txt (pre)
128,27,4,1,1,2,pre_09_brennan_undermine_election.txt (pre)
129,13,3,0,1,0,pre_09_brennan_undermine_election.txt (pre)
130,7,2,0,0,0,pre_09_brennan_undermine_election.txt (pre)
131,31,6,3,1,6,pre_09_brennan_undermine_election.txt (pre)
132,33,4,2,0,5,pre_09_brennan_undermine_election.txt (pre)
133,30,5,3,0,9,pre_09_brennan_undermine_election.txt (pre)
134,47,10,2,3,5,pre_09_brennan_undermine_election.txt (pre)
135,51,8,4,2,6,pre_09_brennan_undermine_election.txt (pre)
136,42,7,4,1,9,pre_09_brennan_undermine_election.txt (pre)
137,33,5,4,4,7,pre_09_brennan_undermine_election.txt (pre)
138,24,5,1,2,3,pre_09_brennan_undermine_election.txt (pre)
139,29,3,1,1,5,pre_09_brennan_undermine_election.txt (pre)
140,52,7,3,1,9,pre_09_brennan_undermine_election.txt (pre)
141,19,2,1,0,5,pre_09_brennan_undermine_election.txt (pre)
142,19,2,0,3,1,pre_09_brennan_undermine_election.txt (pre)
143,13,2,0,0,4,pre_09_brennan_undermine_election.txt (pre)
144,20,3,2,0,5,pre_09_brennan_undermine_election.txt (pre)
145,37,7,5,2,7,pre_09_brennan_undermine_election.txt (pre)
146,22,4,2,1,4,pre_09_brennan_undermine_election.txt (pre)
147,33,5,2,0,9,pre_09_brennan_undermine_election.txt (pre)
148,76,18,6,1,9,pre_09_brennan_undermine_election.txt (pre)
149,39,8,5,0,3,pre_09_brennan_undermine_election.txt (pre)
150,26,5,2,1,5,pre_09_brennan_undermine_election.txt (pre)
151,45,5,3,2,9,pre_09_brennan_undermine_election.txt (pre)
152,28,6,2,2,5,pre_09_brennan_undermine_election.txt (pre)
153,23,3,0,1,5,pre_09_brennan_undermine_election.txt (pre)
154,21,3,1,1,2,pre_09_brennan_undermine_election.txt (pre)
155,42,10,6,0,5,pre_09_brennan_undermine_election.txt (pre)
156,30,3,1,3,6,pre_09_brennan_undermine_election.txt (pre)
157,59,12,7,5,5,pre_09_brennan_undermine_election.txt (pre)
158,35,4,1,4,10,pre_09_brennan_undermine_election.txt (pre)
159,21,3,2,1,3,pre_09_brennan_undermine_election.txt (pre)
160,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
161,9,2,0,0,0,pre_09_brennan_undermine_election.txt (pre)
162,36,10,6,0,5,pre_09_brennan_undermine_election.txt (pre)
163,30,7,2,1,5,pre_09_brennan_undermine_election.txt (pre)
164,21,2,0,1,4,pre_09_brennan_undermine_election.txt (pre)
165,13,1,0,0,3,pre_09_brennan_undermine_election.txt (pre)
166,26,3,2,0,3,pre_09_brennan_undermine_election.txt (pre)
167,38,7,0,1,5,pre_09_brennan_undermine_election.txt (pre)
168,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
169,51,7,2,2,14,pre_09_brennan_undermine_election.txt (pre)
170,18,2,0,2,1,pre_09_brennan_undermine_election.txt (pre)
171,1,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
172,10,2,0,0,2,pre_09_brennan_undermine_election.txt (pre)
173,33,10,1,3,6,pre_09_brennan_undermine_election.txt (pre)
174,5,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
175,28,2,1,2,6,pre_09_brennan_undermine_election.txt (pre)
176,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
177,13,3,1,0,1,pre_09_brennan_undermine_election.txt (pre)
178,48,5,1,2,9,pre_09_brennan_undermine_election.txt (pre)
179,23,2,0,1,7,pre_09_brennan_undermine_election.txt (pre)
180,28,5,1,3,3,pre_09_brennan_undermine_election.txt (pre)
181,34,4,2,3,7,pre_09_brennan_undermine_election.txt (pre)
182,37,9,2,3,3,pre_09_brennan_undermine_election.txt (pre)
183,45,6,0,0,14,pre_09_brennan_undermine_election.txt (pre)
184,17,3,0,1,3,pre_09_brennan_undermine_election.txt (pre)
185,10,3,1,0,1,pre_09_brennan_undermine_election.txt (pre)
186,33,3,2,1,4,pre_09_brennan_undermine_election.txt (pre)
187,24,7,3,0,3,pre_09_brennan_undermine_election.txt (pre)
188,31,7,4,1,3,pre_09_brennan_undermine_election.txt (pre)
189,40,6,4,1,6,pre_09_brennan_undermine_election.txt (pre)
190,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
191,13,3,1,0,2,pre_09_brennan_undermine_election.txt (pre)
192,23,5,2,1,3,pre_09_brennan_undermine_election.txt (pre)
193,37,8,3,0,7,pre_09_brennan_undermine_election.txt (pre)
194,20,3,1,2,1,pre_09_brennan_undermine_election.txt (pre)
195,12,1,0,0,4,pre_09_brennan_undermine_election.txt (pre)
196,6,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
197,13,4,3,0,0,pre_09_brennan_undermine_election.txt (pre)
198,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
199,29,4,2,2,4,pre_09_brennan_undermine_election.txt (pre)
200,13,3,1,0,2,pre_09_brennan_undermine_election.txt (pre)
201,16,1,0,1,5,pre_09_brennan_undermine_election.txt (pre)
202,15,4,2,1,1,pre_09_brennan_undermine_election.txt (pre)
203,28,4,2,1,7,pre_09_brennan_undermine_election.txt (pre)
204,40,4,2,4,7,pre_09_brennan_undermine_election.txt (pre)
205,21,1,0,1,4,pre_09_brennan_undermine_election.txt (pre)
206,16,1,0,0,4,pre_09_brennan_undermine_election.txt (pre)
207,28,4,1,1,2,pre_09_brennan_undermine_election.txt (pre)
208,15,2,1,0,4,pre_09_brennan_undermine_election.txt (pre)
209,18,5,1,1,1,pre_09_brennan_undermine_election.txt (pre)
210,27,5,1,0,7,pre_09_brennan_undermine_election.txt (pre)
211,12,4,2,0,2,pre_09_brennan_undermine_election.txt (pre)
212,31,2,0,1,7,pre_09_brennan_undermine_election.txt (pre)
213,62,7,1,7,16,pre_09_brennan_undermine_election.txt (pre)
214,54,9,3,6,11,pre_09_brennan_undermine_election.txt (pre)
215,27,3,1,1,6,pre_09_brennan_undermine_election.txt (pre)
216,13,2,1,0,2,pre_09_brennan_undermine_election.txt (pre)
217,18,2,1,0,4,pre_09_brennan_undermine_election.txt (pre)
218,10,1,1,1,2,pre_09_brennan_undermine_election.txt (pre)
219,5,2,0,0,0,pre_09_brennan_undermine_election.txt (pre)
220,28,5,2,0,4,pre_09_brennan_undermine_election.txt (pre)
221,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
222,42,5,1,2,14,pre_09_brennan_undermine_election.txt (pre)
223,14,3,1,2,2,pre_09_brennan_undermine_election.txt (pre)
224,36,7,3,1,6,pre_09_brennan_undermine_election.txt (pre)
225,42,6,4,1,5,pre_09_brennan_undermine_election.txt (pre)
226,42,8,4,1,6,pre_09_brennan_undermine_election.txt (pre)
227,19,3,0,0,2,pre_09_brennan_undermine_election.txt (pre)
228,36,7,1,2,6,pre_09_brennan_undermine_election.txt (pre)
229,12,1,0,0,4,pre_09_brennan_undermine_election.txt (pre)
230,26,4,1,0,3,pre_09_brennan_undermine_election.txt (pre)
231,18,1,1,0,3,pre_09_brennan_undermine_election.txt (pre)
232,9,3,1,1,1,pre_09_brennan_undermine_election.txt (pre)
233,52,6,2,0,16,pre_09_brennan_undermine_election.txt (pre)
234,28,2,1,0,7,pre_09_brennan_undermine_election.txt (pre)
235,52,12,3,1,8,pre_09_brennan_undermine_election.txt (pre)
236,27,2,1,1,9,pre_09_brennan_undermine_election.txt (pre)
237,39,6,3,2,9,pre_09_brennan_undermine_election.txt (pre)
238,19,5,2,0,2,pre_09_brennan_undermine_election.txt (pre)
239,53,6,2,1,9,pre_09_brennan_undermine_election.txt (pre)
240,27,3,0,1,7,pre_09_brennan_undermine_election.txt (pre)
241,46,5,2,1,10,pre_09_brennan_undermine_election.txt (pre)
242,28,2,1,1,8,pre_09_brennan_undermine_election.txt (pre)
243,18,3,1,0,5,pre_09_brennan_undermine_election.txt (pre)
244,45,2,0,2,18,pre_09_brennan_undermine_election.txt (pre)
245,33,3,1,0,5,pre_09_brennan_undermine_election.txt (pre)
246,34,4,1,1,7,pre_09_brennan_undermine_election.txt (pre)
247,25,5,1,3,5,pre_09_brennan_undermine_election.txt (pre)
248,56,10,4,2,11,pre_09_brennan_undermine_election.txt (pre)
249,27,3,1,2,4,pre_09_brennan_undermine_election.txt (pre)
250,52,6,4,0,19,pre_09_brennan_undermine_election.txt (pre)
251,21,2,0,0,6,pre_09_brennan_undermine_election.txt (pre)
252,20,5,1,0,5,pre_09_brennan_undermine_election.txt (pre)
253,12,1,0,0,4,pre_09_brennan_undermine_election.txt (pre)
254,29,4,1,1,5,pre_09_brennan_undermine_election.txt (pre)
255,83,6,1,3,34,pre_09_brennan_undermine_election.txt (pre)
256,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
257,12,1,0,1,0,pre_09_brennan_undermine_election.txt (pre)
258,36,4,2,2,9,pre_09_brennan_undermine_election.txt (pre)
259,12,3,0,1,3,pre_09_brennan_undermine_election.txt (pre)
260,51,11,6,1,7,pre_09_brennan_undermine_election.txt (pre)
261,16,2,1,2,2,pre_09_brennan_undermine_election.txt (pre)
262,14,2,1,1,1,pre_09_brennan_undermine_election.txt (pre)
263,14,2,1,2,1,pre_09_brennan_undermine_election.txt (pre)
264,13,2,1,0,3,pre_09_brennan_undermine_election.txt (pre)
265,39,8,4,3,4,pre_09_brennan_undermine_election.txt (pre)
266,12,2,0,0,2,pre_09_brennan_undermine_election.txt (pre)
267,15,1,0,0,6,pre_09_brennan_undermine_election.txt (pre)
268,10,1,0,0,2,pre_09_brennan_undermine_election.txt (pre)
269,51,5,1,4,12,pre_09_brennan_undermine_election.txt (pre)
